,lat,lon,name,admin1,admin2,cc,coord_tuple
3771,59.33258,18.0649,Stockholm,Stockholm,Stockholms Kommun,SE,"('59.3319311', '18.0554343')"
3772,25.11641,56.34141,Al Fujayrah,Al Fujayrah,,AE,"('25.121412', '56.3311267')"
3773,31.25444,74.21778,Raiwind,Punjab,,PK,"('31.3218287', '74.2205254')"
3774,43.87145,10.25581,Viareggio,Tuscany,Provincia di Lucca,IT,"('43.8624001', '10.2438237')"
3775,47.8601,-122.2043,Mill Creek,Washington,Snohomish County,US,"('47.909849', '-122.217203')"
3776,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2899199', '55.4455633')"
3777,21.42664,39.82563,Mecca,Makkah,,SA,"('21.3609013', '39.8991647')"
3778,26.91962,75.78781,Jaipur,Rajasthan,Jaipur,IN,"('26.8537096', '75.8094306')"
3779,50.93893,6.95752,Altstadt Nord,North Rhine-Westphalia,Regierungsbezirk Koln,DE,"('50.945191', '6.961276')"
3780,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.3051352', '55.4462714')"
3781,50.82803,3.26487,Kortrijk,Flanders,Provincie West-Vlaanderen,BE,"('50.8273938', '3.2653752')"
3782,2.65,101.7,Sungai Pelek New Village,,,MY,"('2.746442', '101.7113879')"
3783,61.16667,23.86667,Akaa,Pirkanmaa,Etelae-Pirkanmaa,FI,"('61.169648', '23.8569651')"
3784,25.0657,55.17128,Dubai,Dubai,,AE,"('25.0717455', '55.141506')"
3785,26.21536,50.5832,Manama,Manama,,BH,"('26.2100093', '50.5758512')"
3786,25.0657,55.17128,Dubai,Dubai,,AE,"('25.0764985', '55.1394889')"
3787,14.6042,120.9822,Manila,Metro Manila,City of Manila,PH,"('14.6034528', '120.9739547')"
3788,25.0657,55.17128,Dubai,Dubai,,AE,"('25.223134', '55.258207')"
3789,42.08836,-87.98063,Arlington Heights,Illinois,Cook County,US,"('42.1134265', '-87.9830559')"
3790,24.68773,46.72185,Riyadh,Ar Riyad,,SA,"('24.6831642', '46.6298997')"
3791,27.43282,77.74153,Mahaban,Uttar Pradesh,Mathura,IN,"('27.4289656', '77.7406201')"
3792,29.145,48.13028,Al Mahbulah,Al Ahmadi,,KW,"('29.1509143', '48.1224272')"
3793,35.94389,126.95444,Iksan,Jeollabuk-do,,KR,"('35.9683388', '126.9977904')"
3794,21.19594,72.83023,Surat,Gujarat,Surat,IN,"('21.1753796', '72.8560331')"
3795,1.28967,103.85007,Singapore,,,SG,"('1.2931219', '103.8269124')"
3796,52.53878,13.42443,Prenzlauer Berg Bezirk,Berlin,,DE,"('52.5469174', '13.4175761')"
3797,-33.91799,25.57007,Port Elizabeth,Eastern Cape,Nelson Mandela Bay Metropolitan Municipality,ZA,"('-33.9493262', '25.5783085')"
3798,50.63373,5.56749,Liege,Wallonia,Province de Liege,BE,"('50.642224', '5.572216')"
3799,26.91962,75.78781,Jaipur,Rajasthan,Jaipur,IN,"('26.9348372', '75.8403477')"
3800,40.71427,-74.00597,New York City,New York,,US,"('40.7171499', '-74.0317615')"
3801,26.77691,82.13292,Faizabad,Uttar Pradesh,Faizabad,IN,"('26.7690367', '82.1691915')"
3802,69.6489,18.95508,Tromso,Troms,Tromso,NO,"('69.6474265', '18.9525588')"
3803,39.82219,-7.49087,Castelo Branco,Castelo Branco,Castelo Branco,PT,"('39.8170354', '-7.52125')"
3804,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2456858', '55.3095102')"
3805,13.9226,121.81163,Padre Burgos,Calabarzon,Province of Quezon,PH,"('13.8990869', '121.8019438')"
3806,25.78953,55.9432,Ras al-Khaimah,Ra's al Khaymah,,AE,"('25.7905858', '55.9387974')"
3807,43.10661,6.01718,Le Pradet,Provence-Alpes-Cote d'Azur,Departement du Var,FR,"('43.0848153', '6.0190769')"
3808,25.0657,55.17128,Dubai,Dubai,,AE,"('25.195178', '55.2763421')"
3809,43.71667,3.31667,Lodeve,Languedoc-Roussillon,Departement de l'Herault,FR,"('43.6892', '3.3537868')"
3810,10.10764,76.35158,Aluva,Kerala,Ernakulam,IN,"('10.1125527', '76.3567092')"
3811,9.05785,7.49508,Abuja,Abuja Federal Capital Territory,,NG,"('9.0764616', '7.4764427')"
3812,37.43861,127.13778,Seongnam-si,Gyeonggi-do,,KR,"('37.3839655', '127.1497657')"
3813,48.81568,2.38487,Ivry-sur-Seine,Ile-de-France,Departement du Val-de-Marne,FR,"('48.82979', '2.376607')"
3814,12.97194,77.59369,Bangalore,Karnataka,Bangalore Urban,IN,"('12.9928056', '77.6611738')"
3815,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.229943', '55.3196425')"
3816,24.68773,46.72185,Riyadh,Ar Riyad,,SA,"('24.6819435', '46.6879795')"
3817,33.5102,36.29128,Damascus,Dimashq,,SY,"('33.5191469', '36.2718793')"
3818,32.93429,-97.07807,Grapevine,Texas,Tarrant County,US,"('32.9254843', '-97.0777113')"
3819,25.0657,55.17128,Dubai,Dubai,,AE,"('25.188214', '55.258334')"
3820,14.55027,121.03269,Makati City,Metro Manila,Makati City,PH,"('14.5532171', '121.0271032')"
3821,24.46667,54.36667,Abu Dhabi,Abu Dhabi,,AE,"('24.4802646', '54.3602771')"
3822,25.0657,55.17128,Dubai,Dubai,,AE,"('25.044538', '55.119961')"
3823,51.50901,-0.2762,Acton,England,Greater London,GB,"('51.5344627', '-0.2605417')"
3824,25.41111,55.43504,Ajman,Ajman,,AE,"('25.4133058', '55.4992888')"
3825,25.0657,55.17128,Dubai,Dubai,,AE,"('25.0761337', '55.1462049')"
3826,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.248315', '55.300772')"
3827,24.3643,56.74681,Al Sohar,Al Batinah,,OM,"('24.3575123', '56.7058404')"
3828,33.98029,-118.45174,Marina del Rey,California,Los Angeles County,US,"('33.9834511', '-118.4667301')"
3829,36.07081,-115.08416,Whitney,Nevada,Clark County,US,"('36.0175961', '-115.1179416')"
3830,38.13205,13.33561,Palermo,Sicily,Palermo,IT,"('38.1681711', '13.3511552')"
3831,12.97194,77.59369,Bangalore,Karnataka,Bangalore Urban,IN,"('12.9792929', '77.5756434')"
3832,28.65381,77.22897,Delhi,NCT,North Delhi,IN,"('28.6609001', '77.2978142')"
3833,22.63333,88.4,Garui,West Bengal,North 24 Parganas,IN,"('22.6112347', '88.4046354')"
3834,18.87813,72.93924,Uran,Maharashtra,Raigarh,IN,"('18.9303769', '72.8438611')"
3835,37.38283,-5.97317,Sevilla,Andalusia,Provincia de Sevilla,ES,"('37.3829869', '-5.9880638')"
3836,33.34058,44.40088,Baghdad,Mayorality of Baghdad,,IQ,"('33.2760332', '44.3654633')"
3837,25.0657,55.17128,Dubai,Dubai,,AE,"('25.1990379', '55.2750695')"
3838,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.3088285', '55.3795135')"
3839,24.46667,54.36667,Abu Dhabi,Abu Dhabi,,AE,"('24.4805135', '54.3572707')"
3840,-4.66667,55.41667,Port Glaud,Port Glaud,,SC,"('-4.683438', '55.454292')"
3841,43.67681,4.63031,Arles,Provence-Alpes-Cote d'Azur,Departement des Bouches-du-Rhone,FR,"('43.6676987', '4.6330978')"
3842,19.23496,72.85976,Borivli,Maharashtra,Mumbai Suburban,IN,"('19.1928393', '72.8417068')"
3843,35.23417,128.88111,Kimhae,Gyeongsangnam-do,,KR,"('35.2299192', '128.8718059')"
3844,18.53017,73.85263,Shivaji Nagar,Maharashtra,Pune Division,IN,"('18.5308058', '73.8740937')"
3845,42.49068,78.39362,Karakol,Ysyk-Koel,,KG,"('42.4843025', '78.4058163')"
3846,25.0657,55.17128,Dubai,Dubai,,AE,"('25.208585', '55.2619037')"
3847,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.276844', '55.305979')"
3848,19.45591,72.81136,Virar,Maharashtra,Thane,IN,"('19.5768541', '72.8218427')"
3849,30.66667,73.1,Sahiwal,Punjab,Sahiwal District,PK,"('30.6452309', '73.0745906')"
3850,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2606565', '55.3327036')"
3851,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2648761', '55.3109414')"
3852,25.0657,55.17128,Dubai,Dubai,,AE,"('25.1975134', '55.2785005')"
3853,12.97194,77.59369,Bangalore,Karnataka,Bangalore Urban,IN,"('12.935039', '77.608837')"
3854,25.0657,55.17128,Dubai,Dubai,,AE,"('25.0986378', '55.204779')"
3855,51.34603,-2.97665,Weston-super-Mare,England,North Somerset,GB,"('51.3479263', '-2.9779337')"
3856,49.83465,18.28204,Ostrava,Moravskoslezsky,Okres Ostrava-Mesto,CZ,"('49.8349496', '18.290341')"
3857,44.05755,12.56528,Rimini,Emilia-Romagna,Provincia di Rimini,IT,"('44.061417', '12.587571')"
3858,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.23748', '55.279314')"
3859,38.4079,-78.62363,Elkton,Virginia,Rockingham County,US,"('38.2927558', '-78.6795836')"
3860,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2663361', '55.3145054')"
3861,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2438016', '55.3473347')"
3862,24.25,120.71694,Fengyuan,Taiwan,,TW,"('24.2195418', '120.6515437')"
3863,24.68773,46.72185,Riyadh,Ar Riyad,,SA,"('24.7127826', '46.6725759')"
3864,55.60587,13.00073,Malmoe,Skane,Malmo,SE,"('55.6076579', '13.0007491')"
3865,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.1694793', '55.3560766')"
3866,10.81972,122.60806,Zarraga,Western Visayas,Province of Iloilo,PH,"('10.8223835', '122.6118824')"
3867,9.05785,7.49508,Abuja,Abuja Federal Capital Territory,,NG,"('9.0428646', '7.4520551')"
3868,44.64783,10.92539,Modena,Emilia-Romagna,Provincia di Modena,IT,"('44.6446789', '10.9249894')"
3869,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.3462553', '55.4209317')"
3870,19.23496,72.85976,Borivli,Maharashtra,Mumbai Suburban,IN,"('19.1898861', '72.8354552')"
3871,39.47523,-0.41825,Mislata,Valencia,Provincia de Valencia,ES,"('39.4668532', '-0.4008134')"
3872,25.0657,55.17128,Dubai,Dubai,,AE,"('25.137286', '55.21747')"
3873,25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2748115', '55.3295363')"
3874,33.88894,35.49442,Beirut,Beyrouth,,LB,"('33.889258', '35.513283')"
3875,43.9,2.16667,Puygouzon,Midi-Pyrenees,Departement du Tarn,FR,"('43.88963', '2.1646257')"
